Date, Time,Chamber air temperature (°C),Chamber pressure(mBar), Soil temperature (°C), Chamber relative humidity (%),Soil moisture (%), Chamber Status
03-January-2021,12:31:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:11,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:12,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:13,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:14,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:16,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:17,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:18,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:19,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:20,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:21,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:22,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:23,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:24,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:25,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:26,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:27,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:28,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:29,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:30,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:31,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:32,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:33,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:34,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:35,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:36,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:37,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:38,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:39,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:40,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:41,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:42,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:43,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:44,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:45,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:46,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:47,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:48,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:49,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:50,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:51,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:52,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:53,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:54,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:55,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:56,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:57,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:58,5.0,104.5,10.0,98,50,Close
03-January-2021,12:31:59,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:0,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:1,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:2,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:3,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:4,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:5,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:6,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:7,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:8,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:9,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:11,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:12,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:13,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:14,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:16,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:17,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:18,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:19,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:20,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:21,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:22,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:23,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:24,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:25,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:26,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:27,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:28,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:29,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:30,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:31,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:32,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:33,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:34,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:35,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:36,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:37,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:38,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:39,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:40,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:41,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:42,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:43,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:44,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:45,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:46,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:47,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:48,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:49,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:50,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:51,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:52,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:53,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:54,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:55,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:56,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:57,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:58,5.0,104.5,10.0,98,50,Close
03-January-2021,12:32:59,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:0,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:1,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:2,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:3,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:4,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:5,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:6,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:7,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:8,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:9,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:11,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:12,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:13,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:14,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:16,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:17,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:18,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:19,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:20,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:21,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:22,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:23,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:24,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:25,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:26,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:27,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:28,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:29,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:30,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:31,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:32,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:33,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:34,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:35,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:36,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:37,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:38,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:39,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:40,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:41,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:42,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:43,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:44,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:45,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:46,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:47,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:48,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:49,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:50,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:51,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:52,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:53,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:55,5.0,104.5,10.0,98,50,Close
03-January-2021,12:33:57,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:3,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:4,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:5,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:6,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:7,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:8,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:11,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:12,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:13,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:14,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:16,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:17,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:18,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:19,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:20,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:21,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:23,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:24,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:24,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:25,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:26,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:27,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:28,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:29,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:30,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:31,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:32,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:33,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:35,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:36,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:36,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:38,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:38,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:39,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:41,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:41,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:43,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:43,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:45,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:46,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:47,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:47,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:49,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:50,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:51,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:51,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:53,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:54,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:55,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:56,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:57,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:58,5.0,104.5,10.0,98,50,Close
03-January-2021,12:34:59,5.0,104.5,10.0,98,50,Close
03-January-2021,12:35:0,5.0,104.5,10.0,98,50,Close
03-January-2021,12:35:0,5.0,104.5,10.0,98,50,Close
03-January-2021,12:35:2,5.0,104.5,10.0,98,50,Close
03-January-2021,12:35:3,5.0,104.5,10.0,98,50,Close
03-January-2021,12:35:4,5.0,104.5,10.0,98,50,Close
03-January-2021,12:35:5,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:4,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:6,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:7,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:8,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:9,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:11,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:12,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:13,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:14,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:16,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:17,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:18,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:19,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:20,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:21,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:22,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:23,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:24,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:25,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:26,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:27,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:28,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:29,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:30,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:31,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:32,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:33,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:34,5.0,104.5,10.0,98,50,Close
03-January-2021,12:57:35,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:6,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:8,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:9,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:10,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:11,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:12,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:13,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:14,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:15,5.0,104.5,10.0,98,50,Close
03-January-2021,12:58:16,5.0,104.5,10.0,98,50,Close
03-January-2021,12:59:55,5.0,104.5,10.0,98,50,Close
03-January-2021,12:59:56,5.0,104.5,10.0,98,50,Close
03-January-2021,12:59:57,5.0,104.5,10.0,98,50,Close
03-January-2021,12:59:58,5.0,104.5,10.0,98,50,Close
03-January-2021,12:59:59,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:0,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:2,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:3,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:6,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:8,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:9,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:10,5.0,104.5,10.0,98,50,Close
03-January-2021,13:0:11,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:45,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:47,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:48,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:49,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:50,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:51,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:52,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:53,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:54,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:55,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:56,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:57,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:58,5.0,104.5,10.0,98,50,Close
03-January-2021,13:2:59,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:0,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:1,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:2,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:3,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:4,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:5,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:6,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:7,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:8,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:9,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:10,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:11,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:12,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:13,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:14,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:15,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:16,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:17,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:18,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:19,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:20,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:22,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:25,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:27,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:28,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:30,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:32,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:34,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:35,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:37,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:38,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:40,5.0,104.5,10.0,98,50,Close
03-January-2021,13:3:41,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:6,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:7,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:8,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:9,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:10,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:11,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:12,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:13,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:14,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:15,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:16,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:17,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:18,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:19,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:20,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:21,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:22,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:23,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:24,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:25,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:26,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:27,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:28,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:29,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:30,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:31,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:32,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:33,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:34,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:35,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:36,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:37,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:38,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:39,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:40,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:41,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:42,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:43,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:44,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:45,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:46,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:47,5.0,104.5,10.0,98,50,Close
03-January-2021,13:4:48,5.0,104.5,10.0,98,50,Close
